TubeID,Fraction,Well,Date,Run,Sample.Type,Concentration,Species
A,NA,A1,20230925,1,Standard,2000,Montipora capitata
A,NA,B1,20230925,1,Standard,2000,Montipora capitata
B,NA,C1,20230925,1,Standard,1500,Montipora capitata
B,NA,D1,20230925,1,Standard,1500,Montipora capitata
C,NA,E1,20230925,1,Standard,1000,Montipora capitata
C,NA,F1,20230925,1,Standard,1000,Montipora capitata
D,NA,G1,20230925,1,Standard,750,Montipora capitata
D,NA,H1,20230925,1,Standard,750,Montipora capitata
E,NA,A2,20230925,1,Standard,500,Montipora capitata
E,NA,B2,20230925,1,Standard,500,Montipora capitata
F,NA,C2,20230925,1,Standard,250,Montipora capitata
F,NA,D2,20230925,1,Standard,250,Montipora capitata
G,NA,E2,20230925,1,Standard,125,Montipora capitata
G,NA,F2,20230925,1,Standard,125,Montipora capitata
H,NA,G2,20230925,1,Standard,25,Montipora capitata
H,NA,H2,20230925,1,Standard,25,Montipora capitata
I,NA,A3,20230925,1,Blank,0,Montipora capitata
I,NA,B3,20230925,1,Blank,0,Montipora capitata
P71,Host,C3,20230925,1,Sample ,NA,Montipora capitata
P71,Host,D3,20230925,1,Sample ,NA,Montipora capitata
P40,Holobiont,E3,20230925,1,Sample ,NA,Montipora capitata
P40,Holobiont,F3,20230925,1,Sample ,NA,Montipora capitata
P82,Holobiont,G3,20230925,1,Sample ,NA,Montipora capitata
P82,Holobiont,H3,20230925,1,Sample ,NA,Montipora capitata
P45,Symbiont,A4,20230925,1,Sample ,NA,Montipora capitata
P45,Symbiont,B4,20230925,1,Sample ,NA,Montipora capitata
P84,Host,C4,20230925,1,Sample ,NA,Montipora capitata
P84,Host,D4,20230925,1,Sample ,NA,Montipora capitata
P24,Host,E4,20230925,1,Sample ,NA,Montipora capitata
P24,Host,F4,20230925,1,Sample ,NA,Montipora capitata
P6,Symbiont,G4,20230925,1,Sample ,NA,Montipora capitata
P6,Symbiont,H4,20230925,1,Sample ,NA,Montipora capitata
P91,Host,A5,20230925,1,Sample ,NA,Montipora capitata
P91,Host,B5,20230925,1,Sample ,NA,Montipora capitata
P55,Symbiont,C5,20230925,1,Sample ,NA,Montipora capitata
P55,Symbiont,D5,20230925,1,Sample ,NA,Montipora capitata
P48,Host,E5,20230925,1,Sample ,NA,Montipora capitata
P48,Host,F5,20230925,1,Sample ,NA,Montipora capitata
P21,Holobiont,G5,20230925,1,Sample ,NA,Montipora capitata
P21,Holobiont,H5,20230925,1,Sample ,NA,Montipora capitata
P46,Holobiont,A6,20230925,1,Sample ,NA,Montipora capitata
P46,Holobiont,B6,20230925,1,Sample ,NA,Montipora capitata
P49,Host,C6,20230925,1,Sample ,NA,Montipora capitata
P49,Host,D6,20230925,1,Sample ,NA,Montipora capitata
P65,Holobiont,E6,20230925,1,Sample ,NA,Montipora capitata
P65,Holobiont,F6,20230925,1,Sample ,NA,Montipora capitata
P12,Host,G6,20230925,1,Sample ,NA,Montipora capitata
P12,Host,H6,20230925,1,Sample ,NA,Montipora capitata
P12,Symbiont,A7,20230925,1,Sample ,NA,Montipora capitata
P12,Symbiont,B7,20230925,1,Sample ,NA,Montipora capitata
P59,Host,C7,20230925,1,Sample ,NA,Montipora capitata
P59,Host,D7,20230925,1,Sample ,NA,Montipora capitata
P84,Holobiont,E7,20230925,1,Sample ,NA,Montipora capitata
P84,Holobiont,F7,20230925,1,Sample ,NA,Montipora capitata
P8,Host,G7,20230925,1,Sample ,NA,Montipora capitata
P8,Host,H7,20230925,1,Sample ,NA,Montipora capitata
P85,Holobiont,A8,20230925,1,Sample ,NA,Montipora capitata
P85,Holobiont,B8,20230925,1,Sample ,NA,Montipora capitata
P26,Holobiont,C8,20230925,1,Sample ,NA,Montipora capitata
P26,Holobiont,D8,20230925,1,Sample ,NA,Montipora capitata
P20,Host,E8,20230925,1,Sample ,NA,Montipora capitata
P20,Host,F8,20230925,1,Sample ,NA,Montipora capitata
P20,Symbiont,G8,20230925,1,Sample ,NA,Montipora capitata
P20,Symbiont,H8,20230925,1,Sample ,NA,Montipora capitata
P54,Symbiont,A9,20230925,1,Sample ,NA,Montipora capitata
P54,Symbiont,B9,20230925,1,Sample ,NA,Montipora capitata
P52,Host,C9,20230925,1,Sample ,NA,Montipora capitata
P52,Host,D9,20230925,1,Sample ,NA,Montipora capitata
P28,Host,E9,20230925,1,Sample ,NA,Montipora capitata
P28,Host,F9,20230925,1,Sample ,NA,Montipora capitata
P33,Host,G9,20230925,1,Sample ,NA,Montipora capitata
P33,Host,H9,20230925,1,Sample ,NA,Montipora capitata
P9,Holobiont,A10,20230925,1,Sample ,NA,Montipora capitata
P9,Holobiont,B10,20230925,1,Sample ,NA,Montipora capitata
P30,Holobiont,C10,20230925,1,Sample ,NA,Montipora capitata
P30,Holobiont,D10,20230925,1,Sample ,NA,Montipora capitata
P60,Host,E10,20230925,1,Sample ,NA,Montipora capitata
P60,Host,F10,20230925,1,Sample ,NA,Montipora capitata
P48,Holobiont,G10,20230925,1,Sample ,NA,Montipora capitata
P48,Holobiont,H10,20230925,1,Sample ,NA,Montipora capitata
P14,Host,A11,20230925,1,Sample ,NA,Montipora capitata
P14,Host,B11,20230925,1,Sample ,NA,Montipora capitata
P88,Symbiont,C11,20230925,1,Sample ,NA,Montipora capitata
P88,Symbiont,D11,20230925,1,Sample ,NA,Montipora capitata
P87,Symbiont,E11,20230925,1,Sample ,NA,Montipora capitata
P87,Symbiont,F11,20230925,1,Sample ,NA,Montipora capitata
P15,Symbiont,G11,20230925,1,Sample ,NA,Montipora capitata
P15,Symbiont,H11,20230925,1,Sample ,NA,Montipora capitata
P83,Holobiont,A12,20230925,1,Sample ,NA,Montipora capitata
P83,Holobiont,B12,20230925,1,Sample ,NA,Montipora capitata
P17,Symbiont,C12,20230925,1,Sample ,NA,Montipora capitata
P17,Symbiont,D12,20230925,1,Sample ,NA,Montipora capitata
P20,Holobiont,E12,20230925,1,Sample ,NA,Montipora capitata
P20,Holobiont,F12,20230925,1,Sample ,NA,Montipora capitata
P62,Symbiont,G12,20230925,1,Sample ,NA,Montipora capitata
P62,Symbiont,H12,20230925,1,Sample ,NA,Montipora capitata
A,NA,A1,20230925,2,Standard,2000,Montipora capitata
A,NA,B1,20230925,2,Standard,2000,Montipora capitata
B,NA,C1,20230925,2,Standard,1500,Montipora capitata
B,NA,D1,20230925,2,Standard,1500,Montipora capitata
C,NA,E1,20230925,2,Standard,1000,Montipora capitata
C,NA,F1,20230925,2,Standard,1000,Montipora capitata
D,NA,G1,20230925,2,Standard,750,Montipora capitata
D,NA,H1,20230925,2,Standard,750,Montipora capitata
E,NA,A2,20230925,2,Standard,500,Montipora capitata
E,NA,B2,20230925,2,Standard,500,Montipora capitata
F,NA,C2,20230925,2,Standard,250,Montipora capitata
F,NA,D2,20230925,2,Standard,250,Montipora capitata
G,NA,E2,20230925,2,Standard,125,Montipora capitata
G,NA,F2,20230925,2,Standard,125,Montipora capitata
H,NA,G2,20230925,2,Standard,25,Montipora capitata
H,NA,H2,20230925,2,Standard,25,Montipora capitata
I,NA,A3,20230925,2,Blank,0,Montipora capitata
I,NA,B3,20230925,2,Blank,0,Montipora capitata
P81,Host,C3,20230925,2,Sample ,NA,Montipora capitata
P81,Host,D3,20230925,2,Sample ,NA,Montipora capitata
P36,Host,E3,20230925,2,Sample ,NA,Montipora capitata
P36,Host,F3,20230925,2,Sample ,NA,Montipora capitata
P94,Symbiont,G3,20230925,2,Sample ,NA,Montipora capitata
P94,Symbiont,H3,20230925,2,Sample ,NA,Montipora capitata
P94,Holobiont,A4,20230925,2,Sample ,NA,Montipora capitata
P94,Holobiont,B4,20230925,2,Sample ,NA,Montipora capitata
P23,Host,C4,20230925,2,Sample ,NA,Montipora capitata
P23,Host,D4,20230925,2,Sample ,NA,Montipora capitata
P50,Holobiont,E4,20230925,2,Sample ,NA,Montipora capitata
P50,Holobiont,F4,20230925,2,Sample ,NA,Montipora capitata
P77,Holobiont,G4,20230925,2,Sample ,NA,Montipora capitata
P77,Holobiont,H4,20230925,2,Sample ,NA,Montipora capitata
P38,Host,A5,20230925,2,Sample ,NA,Montipora capitata
P38,Host,B5,20230925,2,Sample ,NA,Montipora capitata
P32,Holobiont,C5,20230925,2,Sample ,NA,Montipora capitata
P32,Holobiont,D5,20230925,2,Sample ,NA,Montipora capitata
P11,Symbiont,E5,20230925,2,Sample ,NA,Montipora capitata
P11,Symbiont,F5,20230925,2,Sample ,NA,Montipora capitata
P38,Holobiont,G5,20230925,2,Sample ,NA,Montipora capitata
P38,Holobiont,H5,20230925,2,Sample ,NA,Montipora capitata
P81,Symbiont,A6,20230925,2,Sample ,NA,Montipora capitata
P81,Symbiont,B6,20230925,2,Sample ,NA,Montipora capitata
P32,Symbiont,C6,20230925,2,Sample ,NA,Montipora capitata
P32,Symbiont,D6,20230925,2,Sample ,NA,Montipora capitata
P79,Holobiont,E6,20230925,2,Sample ,NA,Montipora capitata
P79,Holobiont,F6,20230925,2,Sample ,NA,Montipora capitata
P37,Host,G6,20230925,2,Sample ,NA,Montipora capitata
P37,Host,H6,20230925,2,Sample ,NA,Montipora capitata
P58,Symbiont,A7,20230925,2,Sample ,NA,Montipora capitata
P58,Symbiont,B7,20230925,2,Sample ,NA,Montipora capitata
P27,Symbiont,C7,20230925,2,Sample ,NA,Montipora capitata
P27,Symbiont,D7,20230925,2,Sample ,NA,Montipora capitata
P29,Holobiont,E7,20230925,2,Sample ,NA,Montipora capitata
P29,Holobiont,F7,20230925,2,Sample ,NA,Montipora capitata
P35,Holobiont,G7,20230925,2,Sample ,NA,Montipora capitata
P35,Holobiont,H7,20230925,2,Sample ,NA,Montipora capitata
P13,Host,A8,20230925,2,Sample ,NA,Montipora capitata
P13,Host,B8,20230925,2,Sample ,NA,Montipora capitata
P79,Host,C8,20230925,2,Sample ,NA,Montipora capitata
P79,Host,D8,20230925,2,Sample ,NA,Montipora capitata
P58,Host,E8,20230925,2,Sample ,NA,Montipora capitata
P58,Host,F8,20230925,2,Sample ,NA,Montipora capitata
P76,Host,G8,20230925,2,Sample ,NA,Montipora capitata
P76,Host,H8,20230925,2,Sample ,NA,Montipora capitata
P36,Symbiont,A9,20230925,2,Sample ,NA,Montipora capitata
P36,Symbiont,B9,20230925,2,Sample ,NA,Montipora capitata
P37,Holobiont,C9,20230925,2,Sample ,NA,Montipora capitata
P37,Holobiont,D9,20230925,2,Sample ,NA,Montipora capitata
P39,Holobiont,E9,20230925,2,Sample ,NA,Montipora capitata
P39,Holobiont,F9,20230925,2,Sample ,NA,Montipora capitata
P36,Holobiont,G9,20230925,2,Sample ,NA,Montipora capitata
P36,Holobiont,H9,20230925,2,Sample ,NA,Montipora capitata
P81,Holobiont,A10,20230925,2,Sample ,NA,Montipora capitata
P81,Holobiont,B10,20230925,2,Sample ,NA,Montipora capitata
P35,Host,C10,20230925,2,Sample ,NA,Montipora capitata
P35,Host,D10,20230925,2,Sample ,NA,Montipora capitata
P32,Host,E10,20230925,2,Sample ,NA,Montipora capitata
P32,Host,F10,20230925,2,Sample ,NA,Montipora capitata
P23,Symbiont,G10,20230925,2,Sample ,NA,Montipora capitata
P23,Symbiont,H10,20230925,2,Sample ,NA,Montipora capitata
P13,Symbiont,A11,20230925,2,Sample ,NA,Montipora capitata
